"representation","k","logW","gap","SE.sim"
"panelist_block",1,3.63489347250228,-0.173544285983845,0.0756982702475059
"panelist_block",2,3.4057754942274,-0.245924334875335,0.0784281785490515
"panelist_block",3,3.1717633998439,-0.274490010569339,0.0863764788395535
"panelist_block",4,2.93258637369163,-0.305895904330502,0.0939488514474662
"panelist_block",5,2.68307437131322,-0.355563643722799,0.104537395203143
"panelist_weighted",1,0.976609427184297,-0.171044121458968,0.114787790895589
"panelist_weighted",2,0.504117172089495,-0.136214199968441,0.119670512674351
"panelist_weighted",3,0.144477374789501,-0.124871063249992,0.127167142154231
"panelist_weighted",4,-0.217586336494994,-0.0848635196828408,0.132016124994268
"panelist_weighted",5,-0.559204783066909,-0.0814191054682392,0.143692167846452
"panelist_z",1,2.58028156659837,-0.178515028370948,0.08767886048189
"panelist_z",2,2.31141226731379,-0.253517360578919,0.0904925137997803
"panelist_z",3,2.03560836682487,-0.257661557674085,0.099088425709849
"panelist_z",4,1.79156052859306,-0.298871829893472,0.107465836474139
"panelist_z",5,1.51895834193417,-0.339330422029765,0.118385179412408
"raw_scaled",1,2.57881443601561,-0.175748585563222,0.0855213373539537
"raw_scaled",2,2.30093224140165,-0.234098360884254,0.0890187967833259
"raw_scaled",3,2.02057149372737,-0.231719569006665,0.0969006946721725
"raw_scaled",4,1.78020512762827,-0.274084476367196,0.10492928936968
"raw_scaled",5,1.50349026165858,-0.308642973378297,0.116114337007761
"selected_signal_positive",1,0.976608917461636,-0.171044388343953,0.114788198046191
"selected_signal_positive",2,0.504114719659379,-0.136213985347219,0.119671023620505
"selected_signal_positive",3,0.144473932452564,-0.124870841761818,0.12716780704207
"selected_signal_positive",4,-0.217591413965315,-0.0848625231967426,0.132016881423493
"selected_signal_positive",5,-0.559211253923666,-0.0814174320829738,0.143692953442742
"selected_uncorrelated",1,0.976609427184297,-0.171044121458968,0.114787790895589
"selected_uncorrelated",2,0.504117172089495,-0.136214199968441,0.119670512674351
"selected_uncorrelated",3,0.144477374789501,-0.124871063249992,0.127167142154231
"selected_uncorrelated",4,-0.217586336494994,-0.0848635196828411,0.132016124994268
"selected_uncorrelated",5,-0.559204783066909,-0.0814191054682394,0.143692167846452
"selected_top20",1,0.976609289722119,-0.171044358228765,0.114787910356072
"selected_top20",2,0.504116476190699,-0.136214292855933,0.119670658667623
"selected_top20",3,0.144476352101011,-0.124871066146748,0.127167346342108
"selected_top20",4,-0.217587517227385,-0.0848636386776642,0.132016379874784
"selected_top20",5,-0.559206362290564,-0.08141903809863,0.143692438639769
"selected_top15",1,0.976609014983448,-0.17104445263876,0.114788092032189
"selected_top15",2,0.504115197382945,-0.136214049359123,0.11967088036678
"selected_top15",3,0.144474674460517,-0.124870846635844,0.127167645386235
"selected_top15",4,-0.217590185500873,-0.0848628227174815,0.132016736651086
"selected_top15",5,-0.559209638262357,-0.0814179419547711,0.14369281910207
"selected_top10",1,0.974629594665052,-0.175291653263043,0.116791114716711
"selected_top10",2,0.494581912819108,-0.140440341856605,0.121292692015399
"selected_top10",3,0.143275902458746,-0.137885655507244,0.130212677926499
"selected_top10",4,-0.22382861037394,-0.0971533296652173,0.136344318478947
"selected_top10",5,-0.558710149239658,-0.103472295749721,0.14851224552831
"selected_top8",1,0.965880643895243,-0.175253065992148,0.111303204391985
"selected_top8",2,0.457884414223709,-0.126309344031748,0.122374120708497
"selected_top8",3,0.131424297961076,-0.143583710452535,0.13260024955102
"selected_top8",4,-0.253228594205128,-0.0915716088478029,0.144404998786316
"selected_top8",5,-0.612666623008144,-0.0823670403091633,0.153891590283927
"selected_signal_positive_pca2",1,0.8927886056434,-0.214617577447713,0.121738791264892
"selected_signal_positive_pca2",2,0.332139602549859,-0.171638995604221,0.156255216745825
"selected_signal_positive_pca2",3,-0.102030124305163,-0.17824174615909,0.190292872598084
"selected_signal_positive_pca2",4,-0.478846149662699,-0.227900022693458,0.227038730208572
"selected_signal_positive_pca2",5,-0.861661006893395,-0.279871514688395,0.265688357578699
"selected_signal_positive_pca3",1,0.94078515945408,-0.205140550967616,0.132442421238064
"selected_signal_positive_pca3",2,0.429854243297494,-0.15742640819723,0.141721833699445
"selected_signal_positive_pca3",3,0.0218813242589695,-0.121207964825859,0.157151265843648
"selected_signal_positive_pca3",4,-0.405738483972193,-0.0603614424832898,0.177575247497172
"selected_signal_positive_pca3",5,-0.748611167429943,-0.0952393885503475,0.201842395624635
"selected_signal_positive_pca4",1,0.958796206130887,-0.185312504974285,0.124968419164632
"selected_signal_positive_pca4",2,0.463379096413932,-0.128069798614218,0.134797803959412
"selected_signal_positive_pca4",3,0.0814442026852153,-0.111685078598084,0.151431008591063
"selected_signal_positive_pca4",4,-0.313572045608063,-0.0598248264718451,0.165529154091476
"selected_signal_positive_pca4",5,-0.681933176954816,-0.0541730279015507,0.183917496804691
"selected_signal_positive_corr_mds2",1,0.918153023679938,-0.274549938934621,0.119470170027151
"selected_signal_positive_corr_mds2",2,0.302125952622423,-0.160897534884337,0.158120587792838
"selected_signal_positive_corr_mds2",3,-0.0985983422709829,-0.212197405756596,0.190536325722455
"selected_signal_positive_corr_mds2",4,-0.551791548613709,-0.180067749557993,0.23021847294735
"selected_signal_positive_corr_mds2",5,-1.13649441729777,-0.0348050725634355,0.269855543083085
"selected_signal_positive_corr_mds3",1,0.930494917279909,-0.287867089151788,0.142835254299951
"selected_signal_positive_corr_mds3",2,0.340326351875493,-0.185561150963068,0.169927349871428
"selected_signal_positive_corr_mds3",3,-0.0368971737647214,-0.232086895417989,0.180416460709098
"selected_signal_positive_corr_mds3",4,-0.455097368116784,-0.215210176876345,0.200191576444197
"selected_signal_positive_corr_mds3",5,-0.950437018667661,-0.133647078120827,0.221861419396213
"selected_signal_positive_corr_mds4",1,0.934191730068021,-0.266793690751059,0.13403804480565
"selected_signal_positive_corr_mds4",2,0.352005653636294,-0.1618475740262,0.157597155009464
"selected_signal_positive_corr_mds4",3,-0.0195593956487875,-0.21642103744177,0.185489959933552
"selected_signal_positive_corr_mds4",4,-0.429428159378404,-0.202135482862864,0.203346292480891
"selected_signal_positive_corr_mds4",5,-0.903275774378872,-0.132724713688624,0.226763058846479
